Vertex Number of Tree:1893
548 933 -342.585540 5.737408
563 970 -43.151550 204.539290
564 1042 -489.082100 -222.545060
616 1103 -270.639200 142.157210
617 1110 -492.336060 -32.250600
618 1113 478.784580 -387.384900
619 1117 -158.192500 188.609050
621 1127 233.117280 -477.111720
622 1154 153.522310 -176.735700
623 1167 121.079680 -67.970290
634 1180 453.873380 498.073580
635 1183 135.035370 -80.345080
640 1185 -175.148440 362.996060
642 1187 -221.536200 -211.946030
643 1189 234.689730 -403.790900
646 1190 59.685820 29.600811
649 1192 -127.945220 -286.531620
654 1196 122.645420 46.796307
660 1208 247.437350 459.094820
663 1231 -84.099820 -300.806980
664 1237 -63.962830 283.015050
665 1249 -307.424470 369.616360
667 1262 243.668800 -332.931030
669 1270 -193.109770 391.508150
671 1281 265.689000 -146.163040
672 1285 226.960600 359.885160
674 1288 -221.326720 -147.470140
675 1315 418.943500 60.317608
676 1317 155.546600 -50.977253
677 1335 -225.819890 493.497220
678 1340 27.098051 330.902500
679 1343 -451.148070 -252.621320
683 1344 -273.711670 -146.560930
684 1349 364.765350 274.541960
685 1352 -353.517430 418.678740
686 1371 -319.770450 469.337430
687 1373 -479.279330 -82.603226
6 1412 281.595430 307.539640
48 1415 286.360930 192.436260
52 1419 -231.124080 210.649460
200 1461 -362.088350 21.999004
222 1463 212.966580 227.648670
263 1501 -409.409760 -307.257500
264 1510 -352.659270 88.925095
267 1565 378.127470 335.077900
278 1577 -176.308560 -319.749800
293 1578 -209.440430 -173.149490
332 1585 -291.153300 9.105267
443 1609 -378.771550 -263.374050
462 1620 -470.615400 -208.683360
512 1649 236.936860 474.092200
600 1662 -219.273350 372.873930
627 1711 411.180820 -457.372130
698 1713 -490.909880 -180.030140
700 1728 467.609770 -452.124180
702 1738 347.530430 -340.286160
707 1748 469.340360 406.200100
712 1751 241.407380 -65.364180
718 1784 -340.523600 18.193707
720 1793 -466.040650 -53.988667
721 1795 -390.835360 -475.056640
722 1807 99.272550 304.201450
723 5 -438.257630 148.546430
727 6 -492.217200 -321.382870
728 7 275.009000 -466.585140
729 48 -211.450070 -54.419666
7 73 258.380770 451.189420
63 90 212.894500 269.268400
113 122 -322.335820 -290.373470
118 124 -334.408300 19.093243
215 201 357.410550 114.609480
337 212 -407.336100 326.279330
348 278 249.290010 374.475200
373 299 218.920380 -486.929900
406 325 454.650420 -92.864610
411 335 -286.260770 -410.094270
574 343 390.403050 -386.988600
587 376 250.191680 -490.921050
610 378 -30.396334 -189.409040
638 404 450.458700 -112.209490
738 413 -268.426700 -303.547420
778 422 -460.407380 469.189120
784 439 -298.868930 -112.104690
794 472 -359.974270 -323.104460
797 479 382.486660 -166.152880
799 481 30.833036 236.673810
807 515 -299.432860 138.517380
808 540 -131.395660 -11.672993
812 566 -108.970430 132.295820
816 578 -179.115510 -308.440580
820 591 309.936860 345.690520
821 597 298.491670 -158.540080
823 603 -114.948300 -105.363510
824 636 489.624730 252.426860
826 642 462.928680 169.294050
827 686 196.523040 443.767850
828 712 -380.536870 -366.501700
830 753 -445.457200 -334.128170
831 833 -403.720180 -11.693440
835 1020 73.866360 -257.234560
838 1174 -98.677670 430.631870
839 8 85.661650 -224.970140
843 19 -230.769130 246.739490
844 23 -402.638180 146.467510
846 164 115.571014 -479.578370
848 250 -234.165680 208.572680
851 254 -161.294860 306.955170
852 349 -317.436520 478.774080
854 395 324.072170 226.486560
858 403 -68.430664 181.581900
860 430 -212.130310 64.276230
8 557 428.638340 486.184660
27 624 -339.392000 -369.724760
40 644 379.543120 -150.293350
47 771 -444.266570 -173.206400
145 834 -194.720030 462.250150
255 1000 494.492770 -399.437530
326 1238 -26.046175 -91.989300
471 1522 -34.560303 214.277510
520 1756 251.792570 -193.832440
699 1799 85.458466 62.752300
719 10 339.874180 375.916300
863 11 -401.091550 80.099470
864 12 -401.498870 -418.076230
867 14 -297.531830 -363.105260
873 15 177.758820 -240.350020
874 16 -284.514900 -289.929530
876 17 -29.354647 394.395480
880 18 429.113980 23.322186
881 20 -15.736940 33.597454
882 22 -437.748260 -197.898000
39 24 -415.088040 148.810350
217 34 128.255890 -235.188430
1075 40 214.528410 131.973070
11 49 -326.342680 -19.404102
282 52 -401.237150 -490.023560
445 56 288.557340 264.178740
16 61 171.092200 -107.789140
295 64 8.123014 -150.530290
298 67 422.714800 127.686325
509 76 -274.425870 186.211170
517 78 154.576390 -358.517240
639 86 19.278654 -162.276570
1064 97 155.727140 -55.298878
1230 109 360.052900 -377.154880
1285 120 -338.687040 -132.249440
1286 121 9.487089 341.454000
18 127 53.853302 153.721660
66 136 -453.904880 -349.505680
408 142 -336.938630 -333.242300
77 148 363.312230 -83.776110
123 149 192.313260 -380.247100
446 150 -328.156830 158.434800
447 151 253.974400 -93.632310
631 152 -491.412930 -476.310460
766 153 -268.857640 -165.732500
912 154 5.344756 77.153980
1396 157 199.968960 299.654400
1397 165 -297.261700 86.397200
58 175 444.572780 -282.425320
62 177 8.251432 385.568700
104 190 175.657930 -171.848680
239 209 -7.976564 -145.349780
270 216 424.304720 -164.198560
274 233 -409.991550 -473.980000
280 235 -276.000700 206.666060
586 244 -58.663330 339.356840
599 251 116.822720 -151.108720
910 256 25.190947 105.948840
958 260 223.818630 331.065160
1002 262 -17.760103 -185.238140
1005 282 104.913420 256.027860
1079 294 -493.356400 15.161297
1177 295 400.361540 -99.562420
1349 311 476.875340 -355.029330
1428 313 293.541840 -245.111470
1429 314 -442.919950 337.587860
1432 315 164.032200 -344.959440
1436 316 -154.584810 -61.829030
87 318 410.240880 -218.864700
203 330 -228.202450 -313.556500
266 358 -187.525970 -78.563400
356 366 354.705660 282.457800
515 368 -19.827670 44.548380
533 386 -384.836100 -158.304760
544 389 -118.851135 406.225680
689 391 415.760960 -432.830100
692 405 186.013640 128.209580
695 409 243.532560 -181.257100
976 411 177.571140 429.780800
1160 460 487.763460 143.641590
1313 463 272.828220 467.140530
1376 465 -422.757840 -252.780620
1624 466 -215.647060 41.391216
25 502 -63.773468 -170.721940
92 514 408.074250 272.803560
195 527 94.356660 188.817000
199 528 66.216220 -292.778350
336 543 442.976400 -491.140750
28 561 156.909760 219.869980
29 596 68.802890 -226.953960
1400 598 -33.871002 -487.508120
1822 601 -184.391020 336.979340
1823 607 -17.051516 -38.337147
31 617 225.560700 279.831200
1387 626 125.720730 69.284350
32 638 294.077850 -204.472550
201 654 434.624300 -209.319140
1420 658 35.563080 -452.146700
88 679 -384.865720 -428.615200
110 683 -297.929600 110.116196
143 699 -72.680630 10.607952
214 708 122.961820 -162.458540
224 713 307.469700 -312.436250
226 724 40.826874 -220.635670
252 766 281.413060 -163.782910
253 783 -492.584900 -472.377620
256 784 182.977080 234.703350
257 788 373.060760 220.939500
258 798 426.407320 -112.427444
259 802 -345.946750 274.133450
260 835 98.153470 -177.822890
262 844 94.634310 -211.732440
265 847 -68.715150 -405.061680
269 859 -446.220670 10.804852
272 862 -195.098360 -91.111890
273 899 -58.352570 -338.185270
276 901 271.256620 80.798080
277 938 306.559970 419.718100
279 977 254.905490 -35.627644
281 978 330.595250 368.848720
283 994 -8.945040 335.393040
284 997 -69.636600 -248.853740
285 1039 474.379300 -324.626800
286 1050 -120.749390 -64.415085
288 1062 174.927830 -247.815350
289 1118 368.400970 121.482956
292 1121 -455.653300 389.293180
294 1132 205.928010 -74.375720
297 1169 -116.508640 339.647200
301 1181 -82.672610 -331.834350
303 1188 471.605620 235.929670
308 1191 354.785250 -131.410960
311 1197 467.596650 175.797960
315 1198 -450.942320 190.500170
322 1206 -14.464235 -381.099760
325 1255 444.818820 -167.137900
328 1261 -80.633420 -78.130295
330 1265 -151.144710 155.291850
331 1279 -454.095860 18.164532
338 1280 390.209200 146.337200
339 1308 -329.440520 461.532870
342 1313 -457.651250 196.190600
345 1323 96.825960 295.048300
350 1332 -210.326930 -480.915100
353 1338 498.415860 -17.926380
354 1342 -165.867070 485.655360
355 1346 352.036040 -58.823597
358 1380 332.477400 71.842026
360 1387 449.144200 63.932780
361 1401 30.610685 -391.555730
362 1402 -353.372000 -37.279774
363 1420 318.772980 24.229595
368 1423 -60.798157 -404.985960
372 1434 169.731900 -184.462750
374 1444 -359.583650 341.367100
384 1445 141.902620 46.606182
385 1450 444.528170 -423.834560
387 1451 -369.714720 -212.603230
389 1452 408.079200 263.416530
396 1453 -169.658940 -470.537050
397 1467 437.885100 134.242050
398 1489 -56.600067 285.473420
400 1521 -298.763900 -441.590000
401 1545 -3.077761 274.266080
403 1558 484.462130 309.155180
409 1573 278.912700 320.862150
410 1580 417.619000 38.701702
414 1618 -206.989600 359.653530
415 1621 -344.098600 431.314850
417 1622 329.257230 -280.984040
419 1624 -437.509000 -318.626070
422 1637 -284.728550 186.891890
423 1640 -327.100000 155.871200
424 1641 -436.468540 209.422410
426 1642 237.470610 -156.093430
427 1643 362.700530 -41.500140
428 1644 436.544600 470.162140
430 1646 74.399506 419.150300
433 1647 441.916300 -44.996113
434 1648 491.562350 93.944140
435 1650 -141.464390 240.772080
210 1651 490.484280 399.172150
579 1652 -277.971040 371.987030
584 1682 -34.099823 336.314800
594 1701 150.456570 116.609116
207 1706 -323.093050 -437.631440
213 1719 -47.172363 346.157680
216 1731 451.269930 -446.114230
219 1742 -17.754763 -145.593400
225 1749 196.630040 162.120960
268 1752 -211.845100 287.538730
299 1753 -50.644196 490.466460
317 1759 170.022610 383.055020
347 1760 -244.740660 -309.600600
375 1763 -436.131380 -229.600880
440 1781 -478.876600 -31.548450
442 1839 -196.563720 173.171000
461 1258 101.962310 -175.749280
480 13 -310.624360 -29.031605
501 66 -203.833310 298.474700
507 80 -27.326326 -271.691220
523 81 109.157810 -200.405930
534 96 -187.335750 478.747280
609 103 115.904880 -100.427536
626 118 -494.697360 264.221950
630 128 3.634184 341.229900
658 140 293.991360 -327.178900
733 143 408.286100 383.764620
740 168 373.094450 -107.419970
741 297 -28.247622 -472.031620
744 300 -226.619350 104.581710
745 319 141.653170 -391.042450
746 355 -321.014000 -124.453230
747 360 -388.611180 221.783980
750 392 -132.911770 -421.735930
751 398 -44.571260 454.076080
752 402 384.337860 -232.372820
753 480 -46.723724 -60.098377
755 513 278.191380 -129.295400
758 536 -184.725160 320.331200
759 547 186.643400 -488.811650
760 586 24.396940 298.721950
764 588 -143.542390 281.726400
768 593 -209.615420 -387.471100
769 599 207.846100 -197.938890
779 605 176.086030 408.490800
780 609 392.649440 456.558560
781 634 -199.439270 -295.673070
783 689 403.421170 291.628080
786 719 -350.499970 -152.380570
787 757 182.421540 171.695300
788 758 -69.261320 141.345380
790 817 -147.622710 441.805570
792 825 101.108000 95.562120
793 830 -355.033800 25.600994
323 857 160.609160 86.037580
518 868 338.335100 99.323780
632 926 60.860138 -446.842770
897 969 -468.435850 225.668320
898 974 -393.002470 258.227800
899 984 -118.161130 105.713550
232 986 -454.308700 -470.662320
552 991 -490.804200 -87.165540
717 998 -373.344600 -124.778550
238 1068 134.056730 -490.595830
334 1080 301.015530 -176.882640
615 1102 154.369960 -284.737640
628 1106 377.121430 345.393700
948 1138 -207.972900 196.339890
949 1153 392.866730 -220.240400
950 1214 -357.673500 472.493620
953 1246 -316.693020 -280.835080
44 1252 445.606000 5.520062
12 1284 123.343230 -49.965780
196 1286 -333.232030 321.478240
736 1297 307.463300 151.265730
815 1379 -483.727140 -354.129600
1001 1406 492.011870 -268.530900
762 1433 375.278050 -414.111700
306 1485 -29.814120 -121.798630
314 1493 197.950160 -19.148975
352 1520 -324.072850 -379.497470
926 1639 355.581820 160.121870
1037 1808 -279.886500 464.819000
636 1831 -440.006400 497.207060
1073 65 250.923130 -45.557026
85 82 -42.195100 329.402500
100 85 -500.023680 323.885960
122 111 222.508880 24.269146
198 114 126.832855 272.141630
218 134 487.886930 217.381700
223 139 6.651274 -237.415850
227 158 264.151460 20.209210
233 215 419.292940 -327.714450
236 220 57.306427 302.650000
243 265 192.879300 59.827190
307 331 272.565580 -8.341785
340 353 -269.211640 -201.784320
341 365 124.272980 -304.437470
394 396 8.302092 328.306850
421 410 -302.381800 -136.908310
429 419 -436.405730 328.177460
444 420 11.542692 116.786420
473 434 227.473180 165.174360
486 443 -82.414795 362.389920
488 446 -162.728580 99.910140
490 447 -63.986420 -231.024920
491 451 462.501250 345.263460
539 478 -321.554720 -261.021600
547 512 -266.629460 248.479970
551 519 335.257000 -457.023250
553 525 -292.019620 60.761210
641 538 -183.562130 380.955470
652 583 340.002900 -13.735004
653 639 -473.858700 249.982350
666 764 15.864164 461.232760
670 806 424.041530 147.612720
709 874 -181.067570 -96.003710
805 886 -19.295840 -178.979970
811 924 147.940580 497.906220
822 957 -130.470800 483.754550
957 1015 67.846405 -78.236530
967 1016 -245.570500 -334.798070
1010 1026 303.562230 326.124420
1011 1046 330.256000 -367.776100
1022 1069 100.460480 268.888760
1026 1072 -147.914370 -371.870330
1070 1078 270.290130 -230.131180
1085 1098 -250.163360 -488.960750
1087 1099 -382.885740 121.577740
1109 1130 -433.719570 241.864790
1110 1131 -404.894400 -397.736800
1111 1133 379.367650 71.549790
1112 1207 488.514200 -222.747880
1114 1221 73.890350 207.870290
1116 1260 -376.152440 -354.038180
1117 1299 312.851960 204.015240
1118 1390 125.279450 494.470370
1119 1430 -174.480900 304.329860
1121 1435 -493.468440 -52.670246
1122 1483 -323.019130 -492.984220
1123 1505 -44.052612 377.343600
1124 1645 -486.857800 159.250530
1125 1664 -483.794530 -471.679600
1126 1715 385.430330 487.098970
1127 1803 486.094450 -66.647934
1128 1806 -348.905900 -419.244500
1129 1882 278.999900 469.957500
1130 21 -382.172200 5.069928
1132 275 -338.770480 183.468610
1133 25 55.553436 385.972800
1134 53 -236.971530 331.327000
1135 63 433.545380 35.330670
1136 462 -493.884700 453.496000
1137 1033 -242.316160 -80.073230
1139 1176 123.793915 157.985700
1140 1383 180.476290 54.674664
1141 28 263.173800 225.523180
1142 87 135.584630 -294.161830
1143 184 -246.242220 -416.307340
1144 271 -391.049650 -373.055940
1148 342 -497.366880 -321.591920
1152 406 300.209930 -81.761030
1154 414 133.727870 -220.630810
51 456 -149.055330 -0.045856
211 620 -72.929140 -203.807820
234 949 20.410612 -379.691380
300 953 333.721650 253.194690
714 967 -325.253800 -218.907580
774 995 -156.989170 173.353560
1029 996 -277.743870 -43.162342
1038 1009 260.960600 -244.256400
1077 1031 -324.777770 7.998456
1187 1079 -477.770720 -104.195600
1188 1158 347.792820 -255.775090
1189 1162 2.652251 -205.929700
1190 1220 309.854950 180.730270
1191 1283 -74.573210 126.539840
1193 1425 108.393830 148.914840
1195 1472 -138.784090 -491.352300
1198 1598 -59.303528 71.823780
1199 1686 -489.077900 274.843230
1200 1876 417.858000 395.680760
1201 29 -70.391174 -82.933270
1205 657 292.400300 380.651900
1207 850 101.024320 -122.044300
86 1136 -459.586330 -302.838900
536 1248 304.408300 -221.598620
1028 1302 -13.513887 -451.511200
1219 1394 28.739408 -425.885800
1220 1540 -261.217100 -153.946520
1221 1587 284.306920 -417.852500
1222 31 61.993500 300.686130
55 162 37.467680 -204.133380
56 33 -42.536316 161.374620
60 59 151.675810 415.639920
204 77 -357.319100 -267.632600
290 125 -343.652250 62.568096
291 130 326.385220 -269.809330
309 174 384.854030 -286.144870
452 179 160.926540 4.046673
453 198 23.904264 0.966320
734 219 20.093230 136.225750
796 237 398.818450 145.505110
896 263 -201.512970 -36.422350
914 291 382.654880 472.781040
955 375 257.621120 116.753280
1041 377 161.891570 139.329640
1224 379 54.270416 260.839750
1225 393 -282.667050 438.184720
1226 429 478.203640 -160.821700
1227 474 286.143340 -195.508290
1228 494 -400.720640 -228.432940
1229 518 259.381930 434.090240
1231 523 -22.011171 -261.285130
1233 546 439.142730 248.983870
1235 632 -171.119110 396.726960
1237 673 -169.621300 -203.847980
275 698 -457.095120 108.566940
711 704 174.715970 -450.049200
237 773 -227.440430 -446.146120
327 780 247.040620 3.386456
466 792 -137.161870 -115.982895
485 799 -469.632970 -120.165360
625 815 271.309300 -73.254776
757 818 260.473600 -225.681080
802 940 -237.721770 311.830840
1004 983 -10.982515 -457.750640
1039 1005 -417.179230 289.925020
1065 1021 -247.682460 -206.437820
1089 1034 -467.413200 446.381500
1105 1036 -347.279200 -78.509660
1252 1053 -175.379460 474.282320
1255 1081 160.444000 197.733570
1256 1093 -98.954100 -336.096620
1259 1211 -273.991400 -400.414370
1260 1217 -84.681915 -209.710160
1261 1227 356.864530 199.616620
1262 1232 421.842740 -363.722440
1263 1234 -343.475950 144.794720
304 1336 -75.883150 475.209260
388 1372 450.503750 479.473900
1080 1385 324.146150 455.758640
1266 1386 -469.400540 325.461330
1267 1395 -11.254152 -19.309680
1269 1403 237.495090 222.416670
1270 1488 102.432465 -147.953080
1273 1497 -428.566380 -246.873120
1092 1518 211.967860 167.168320
573 1519 271.654140 -69.262470
739 1543 384.215120 -306.886500
894 1546 -162.474120 208.809740
529 1657 196.820650 -278.532230
624 1665 -222.212890 390.113920
715 1683 -139.663790 211.183820
1310 1689 469.022430 156.357770
1074 1692 130.747160 364.017800
65 1710 -119.510500 418.586150
209 1785 312.974700 -354.713650
481 1789 79.631870 196.779890
560 1791 -421.228880 -337.914760
590 1809 -128.907960 277.218480
602 1829 26.528593 241.772140
673 1838 141.765230 467.462430
785 1856 395.874600 -484.567260
795 1857 485.409640 -128.652020
847 1878 116.526700 -195.787890
850 35 462.558200 240.177660
905 108 418.733250 -369.193330
1017 189 414.950040 121.328476
1043 324 -438.273650 234.078050
1091 351 98.430145 221.789110
1147 592 -153.034400 -448.337740
1314 707 -475.761930 131.675100
1315 761 -25.446535 -246.386800
1317 843 305.837550 311.562300
1318 37 474.052900 59.531963
1321 50 496.911700 37.516094
1323 55 395.041400 -247.700450
1324 75 375.877170 -181.015910
1325 89 178.085850 13.442547
1327 93 -116.753296 -342.742160
1328 104 -356.575700 448.327000
392 110 450.395720 395.999900
460 112 332.493620 -56.211475
810 113 -228.234470 330.369780
1332 119 16.541288 -193.528120
67 129 -332.737760 187.572980
492 133 46.912933 -32.933370
829 147 -442.413150 -430.805000
1337 156 363.208650 403.789640
1339 214 232.458950 -45.527270
495 222 398.351530 -162.120990
1378 236 -469.827700 403.692960
1380 259 -176.285310 184.529340
1381 296 266.647860 172.198530
71 361 62.803986 204.610210
13 400 253.126250 -451.979430
903 401 -231.404900 295.675500
921 428 -476.132170 359.944730
26 511 7.475554 385.185100
230 614 -41.294860 -232.141680
694 625 -278.156040 444.523300
545 770 330.020050 143.514020
1068 779 153.769440 229.313580
1096 828 429.692540 77.386460
1097 879 303.717000 469.693880
1098 985 338.796970 -193.916210
1408 1059 171.195100 -116.372025
1409 1269 91.296110 -355.180820
557 38 478.283780 66.996260
1416 39 -47.288666 330.733730
1158 94 -187.646850 -473.879760
366 270 285.722930 -464.598330
1066 437 -359.116000 -138.459060
79 464 -493.118350 188.639450
197 43 449.152800 386.284450
319 166 -47.910980 -329.223240
454 167 330.645720 267.512800
458 169 -436.769800 376.838900
782 183 -279.581150 -382.628750
1472 186 184.320040 -366.372220
1473 188 -396.779940 -172.991380
886 192 -87.250060 459.477800
875 223 451.044040 -162.839980
402 248 389.698460 196.503280
437 277 348.889680 -30.654072
500 280 133.496550 -383.559480
1311 380 252.842740 403.655980
1456 381 20.714262 -296.269740
1510 382 91.207550 382.249300
865 383 -198.038360 -46.728016
1072 407 467.263100 -257.882600
23 452 102.874970 -314.677950
202 473 51.320830 436.320280
464 503 -294.516300 -423.702060
581 529 360.112520 289.819600
613 541 31.131742 331.786770
637 542 -486.862120 354.197300
645 567 -346.646970 186.848860
1335 595 -271.545350 -125.037704
1540 616 357.576800 -291.256620
1007 743 -225.506680 65.811570
1410 746 -265.733640 198.494060
343 769 329.832060 -403.874050
451 805 -456.930400 -159.749220
801 811 219.467990 -58.854176
1545 863 117.788300 -368.807430
1546 913 -206.027560 -481.315800
918 919 -104.552550 39.756634
748 943 297.020100 -158.098460
993 975 -252.525000 286.266500
1157 1018 -72.866610 -245.422590
1457 1029 166.976410 117.572250
91 1040 441.083470 183.480940
1356 1041 -476.683070 -43.896230
1402 1043 -430.756560 -258.145300
1427 1056 -466.300170 343.779020
310 1111 217.289150 -51.309560
540 1142 -178.843500 -327.504600
889 1163 413.993870 -209.609510
916 1182 -70.660520 295.474150
1031 1215 231.467500 -155.428600
1090 1236 446.737400 247.515300
1290 1253 452.038970 210.181020
1401 1339 -43.593445 -32.739918
1585 1542 -414.914600 43.764570
93 1554 372.041000 -389.153140
1278 1589 -52.539764 -411.371770
378 1681 -152.821720 -226.114550
569 1745 -87.223480 201.814620
726 1828 -148.432860 -302.535860
904 69 107.651276 33.216410
1591 163 197.196440 323.942780
1592 306 287.119660 -308.179350
1593 339 -233.785220 -110.426770
535 344 -143.221250 445.988300
1086 445 443.944180 93.529890
633 483 -474.178070 247.839280
1355 548 292.418850 266.719640
1606 573 372.977080 146.226610
99 600 313.357270 378.780730
329 669 -313.536700 458.446440
1589 716 244.200040 167.969350
351 726 299.431500 407.747530
448 738 -293.173830 156.171800
1055 767 -216.042200 -198.136060
1521 801 -314.216980 -179.932170
151 831 -210.492920 -272.787660
194 852 -248.655120 -270.488430
459 922 15.889189 164.057420
467 942 -337.559900 35.485090
697 950 -203.920900 -110.136980
791 952 -14.536806 292.517300
954 955 30.875273 31.211712
1168 961 147.216220 234.252060
1258 964 265.221530 149.088670
1368 1049 -96.301605 -214.112990
605 1091 25.119291 -202.010210
884 1097 -448.808650 293.494230
959 1129 144.409450 86.228870
1474 1139 332.062530 -322.227630
1529 1161 -297.697080 -117.018295
1641 1224 394.936740 -21.429860
1642 1226 365.392300 -32.980244
106 1229 357.361800 -453.441530
693 1266 381.978060 -407.250200
112 1294 -11.178560 -40.280660
891 1307 211.893100 -338.910220
124 1309 -217.075740 -405.142970
212 1325 -208.386570 -74.123764
1296 1329 219.825160 -331.872650
1610 1334 -267.708650 440.910680
116 1337 333.411650 473.619480
840 1354 327.452120 -241.580760
1103 1355 -207.486420 495.313200
1666 1356 107.444370 226.610580
1674 1357 81.372470 45.275494
1675 1365 -180.663450 102.184430
763 1381 -478.167600 89.745960
120 1414 133.804780 93.054920
1372 1418 -181.808750 -35.195910
386 1428 84.656710 377.217200
393 1477 -474.622960 -245.403610
890 1482 231.989040 105.601850
1113 1487 342.092130 207.642870
1461 1506 -193.421660 -110.077590
205 1507 412.793000 200.530620
1247 1509 -359.045900 -199.061690
1696 1512 -114.149230 -76.658220
1704 1526 -478.292540 -41.781880
943 1534 -180.035800 157.450910
1009 1559 -292.061680 -120.597610
772 1561 156.872770 243.868090
1366 1579 -247.653530 375.129000
1723 1582 -114.354770 -400.909180
449 1597 434.322780 -74.800580
516 1690 -287.706150 -74.531720
973 1691 -431.500500 152.226000
1179 1724 -481.806580 -415.629550
1750 1744 -312.431000 220.917040
972 45 -358.242000 -47.006916
1664 46 114.782135 -265.681550
135 74 -449.942570 -30.581532
136 79 -260.610170 -27.254139
316 92 -219.469540 485.592740
468 95 -112.607970 126.804980
555 102 127.678500 494.166530
1471 116 40.309600 -487.188140
1583 117 -74.398710 -227.312240
1670 141 -203.702360 -372.910980
1706 226 -65.539610 -2.577167
1759 228 390.769130 295.027070
208 290 -222.564240 -80.878460
1036 373 297.799300 101.466050
10 432 94.464386 -235.668930
161 1669 -81.066800 -249.135570
731 1800 -419.971680 -371.597930
1050 1846 132.621000 -1.112262
1212 1850 -145.514070 260.120760
1277 1851 -474.644800 321.463170
1405 1852 -318.084440 302.937650
1762 1866 454.687960 -456.989900
139 47 392.168670 -245.944720
951 274 -295.343660 232.471180
1449 621 490.805400 130.173690
1770 721 385.746120 -206.068370
1771 762 347.812160 -412.516050
484 1184 -95.624790 -171.969770
1681 755 -455.522250 33.536785
1775 1100 280.980800 -478.972780
1776 1496 -72.469880 89.904590
